Tipo_cx,Tratamiento,Dieta_recomendada
cxnllln,"Amoxicilina, Cefalexina, Clindamicina, Baclofeno, Ciclobenzaprina, Metocarbamol, Ondansetron, Metoclopramida, Dimenhidrinato","Frutas frescas, verduras, legumbres, granos enteros, nueces para aumentar tu ingesta de fibra"
cxnllln,"Acetaminofen , Gabapentina, Pregabalina, Lidocaina topica, Dexametasona, Diclofenaco topico, Ciprofloxacino , Levofloxacino, enoxaparina, Prometazina ",Mantente bien hidratado bebiendo suficientes liquidos a lo largo del dia
cxnllll,"Montelukast, Prednisona, Dexametasona, Omalizumab , Teofilina, Salbutamol , Formoterol , Budesonida , Fluticasona ","Frutas y verduras frescas que sean ricas en antioxidantes, como bayas, espinacas, brocoli, zanahorias, tomates, naranjas y kiwis"
cxnllll,"Paracetamol, Codeina, Tramadol, Oxicodona, Ibuprofeno, Naproxeno","omega lll, Proteinas magras, tomar suficientes liquidos, preferiblemente agua, para mantener una buena hidratacion"
cxnllll,"Diclofenaco, Amoxicilina, Cefalexina, Clindamicina","Alimentos ricos en vitamina C, Alimentos ricos en vitamina A, Alimentos antiinflamatorios, tomar suficiente agua a lo largo del dia para mantener una buena hidratacion"
cxnlllll,"Control de la presion arterial, Analgesia segura","Reduccion de sodio, Alimentos ricos en potasio, como platanos, espinacas, batatas, aguacates, albaricoques secos y naranjas"
cxnlllll,"Diureticos, Betabloqueantes, Bloqueadores de los canales de calcio","Opta por grasas saludables como las que se encuentran en el aceite de oliva, los frutos secos, las semillas y el pescado graso rico en acidos grasos, omega lll"
cxnlllll,Bloqueadores de los receptores de angiotensina II,"Frutas y verduras, Cereales integrales, Proteinas magras, Nueces y semillas, Productos lacteos bajos en grasa"
cxnllllll,"Paracetamol, Codeina, Tramadol, Paracetamol con codeina","Frutas y verduras fresca, Proteinas magras, Grasas saludables, Lacteos bajos en fosforo"
cxnllllll,Controlar la ingesta de liquidos y electrolitos para evitar la sobrecarga de liquidos y el desequilibrio electrolitico,"La vitamina C,Suplementos de calcio y vitamina D, Suplementos de omega lll"
cxnllllll,"Terapia de compresion, acetaminofen",
cxnlvn,"Ibuprofeno, Paracetamol, Antibioticos, Diclofenaco","Rica en proteinas magras, verduras de hoja verde, vitamina C, Zinc, Buena hidratacion"
cxnlvn,"Antibioticos, Antiinflamatorios, Ibuprofeno","Dieta equilibrada, Alimentos antiinflamatorios, vitamina C, Buena hidratacion
"
cxnlvn,"Analgesicos, Corticosteroides, Antibioticos","Alimentos ricos en proteinas, Frutas y verduras, Carbohidratos complejos, Hidratacion adecuada, Grasas saludables"
cxnlvl,"Salbutamol, Levalbuterol, Budesonida, Fluticasona, Beclometasona, Formoterol, Salmeterol, Prednisona, Metilprednisolona","Alimentos ricos en proteina, Carbohidratos complejos, Hidratacion adecuada"
cxnlvl,"Terapia fisica, Masajes de drenaje linfatico, Uso de prendas de compresion","Suplementos de colageno, Alimentos ricos en fibra,  la vitamina C y el zinc, alimentos antiinflamatorios"
cxnlvl,"Corticosteroides inhalados, Broncodilatadores de accion corta, Corticosteroides orales, Antagonistas de los receptores de leucotrienos","Dieta equilibrada y rica en nutrientes, Hidratacion adecuada, alimentos antiinflamatorios, Suplementos de vitamina C y zinc"
cxnlvll,"Paracetamol,  Opioides, Ibuprofeno, Diclofenaco, Antibiotico","Alimentos ricos en proteinas , Frutas y verduras, Hidratacion adecuada"
cxnlvll,"Tylenol, Neurontin, Keflex, enalapril, Lisinopril, Captopril, Losartan, Valsartan, Irbesartan","Alimentos ricos en fibra,  frutas y verduras, legumbres, granos enteros y nueces"
cxnlvll,"Hidroclorotiazida, Clortalidona , Furosemida , Amlodipino, Verapamilo, Diltiazem, espironolactona , Hidralazina, Clonidina, Doxazosina,  Prazosina, Terazosina ","Alimentos ricos en potasio, Reduccion de sodio, Alimentos ricos en calcio"
cxnlvlll,"acido folico, enalapril, Lisinopril, Ramipril, Losartan, Valsartan, Irbesartan","Frutas y verduras bajas en potasio, Proteinas como pollo, pavo, pescado, claras de huevo"
cxnlvlll,"Furosemida, Hidroclorotiazida, espironolactona, Calcitriol","Frutas y verduras, Tomar suficiente agua, Consumir alimentos como gelatinas, Aguas e infusiones, Sopas,Helados, Frutas"
cxnlvlll,"Mantener la presion arterial bajo control, Dieta baja en proteinas y sodio, Suplementos de vitaminas y minerales com calcio y vitamina D","Los alimentos ricos en fosforo Pescados enlatados, Carnes saladas, ahumadas y embutidas como salchichas y chorizos, Tocineta, tocino, Yema de huevo, Leche y derivados"
cxnvn,"tramadol, usar prenda de compresion, menaven, Cefalexina, doxiciclina","Alimentos ricos en nutrientes, como frutas, verduras, granos enteros, proteinas magras, grasas saludables,vitaminas y minerales"
cxnvn,"Paracetamol, amoxicilina, crema antiflamatoria,","Proteinas , verduras, grasas saludables, alimentos ricos en fibra, vitaminas"
cxnvn,"Naproxeno, Sleeves de compresion, eritromicina","Suplementos nutricionales,Fuentes alternativas de proteinas, Fuentes de grasas saludables, Alimentos bajos en azucar y procesados"
cxnvl,"Albuterol, formaterol, teofillina,montelukas","Antioxidante, fibra, proteinas,proteinas, grasas saludables"
cxnvl,"Albuterol, montelukast, aplicacion de hielo, prendas de compresion","Alimentos integrales , frutas, verduras, granos,integrales, grasas saludable"
cxnvl,"Paracetamol con codeina, usar prenda de compresion, Azitromicina","Frutas y verduras frescas, especialmente aquellas ricas en antioxidantes como bayas, brocoli, espinacas, zanahorias y tomates."
cxnvll,"Acetaminofen, gabapentina, lisinopril, omeprazol, metoprolol","Reducir ingesta de sodiom, aumentaer el consumo de alimentos ricos en potasio, magnesio y calcio"
cxnvll,"Tramadol, doxicixlina, sucralfato, mitazpina","Protenias, vitaminas, minerales esenciales, fibra, hidratacion "
cxnvll,"Acetaminofen, usar prenda de compresion,Clindamicina, Crema antinflamatoria no esteroidea","Reducir el sodio, Aumentar el consumo de frutas y verduras, Optar por proteinas magras"
cxnvlll,"Tylenol, solucion salina, neurontin, ancef","Alimentos ricos en proteinas, antiiflamatorios,alimentos ricos en fibra , viraminas, minerales "
cnvlll,"Bromelina, arnica montana, hidrocodona, cefadroxilo","Alimentos en proteinas, ricos en proteinas , frutas en verduras , granos integrales"
cnvlll,"Tylenol, fisioterapia, mobic, valium,levaquin","Anlimentos antioxidantes , proteinas, vitaminas, minerales, balance de macronutrientes "
cxnvln,"Uso de prendas de compresion, gabapentina, medicacion para el dolor y la inflamacion, prednisona","Alta en proteinas, rica en frutas y verduras, suficiente hidratacion, baja en sal"
cxnvln,"Paracetamol, ibuprofeno, mupirocina, drenajes linfaticos y masajes","Alta en fibras, vitaminas c y e, zinc, incorporar caldos y jugos naturales"
cxnvln,"Ciclobenzaprina o metocarbamol, ondansetron, hidrocortisona topica, geles de silicona","Curcuma y jengibre, pescados grasos, bayas, nueces y semillas, verduras de color verde oscuro"
cxnvll,"Paracetamol, ibuprofeno, paracetamol, albuterol, salmeterol, corticosteroides inhalados","omega lll, frutas y verduras, proteinas magras, alimentos antiinflamatorios, grasas saludables, alimentos ricos en vitamina c y zinc, hidratacion"
cxnvll,"Fluticasona, ipratropio, montelukast, inmunoterapia, teofilina","Alimentos antiinflamatorios, frutas y verduras, proteinas magras, grasas saludables"
cxnvll,"Loratadina, metilprednisolona, azitromicina, apixaban, tramadol","Alimentos ricos en vitamina c y zinc, alimentos ricos en magnesio, alimentos probioticos, alimentos ricos en vitamina d"
cxnvlll,"Paracetamol, ibuprofeno, amoxicilina, lisinopril","Baja en sodio, frutas y verduras, granos enteros, proteinas magras, grasas saludables"
cxnvlll,"Codeina, suplementos de hierro, lorazepam, metoclopramida","Potasio, magnesio, calcio, alimentos integrales, hidratacion, alimentos ricos en nitratos, alimentos ricos en fibra"
cxnvlll,"estatinas, metformina, insulina, rivaroxaban, omeprazol, multivitaminicos","Vegetales de hojas verdes, fuentes magras de proteina,  pescado,  productos lacteos bajos en grasa, proteinas vegetales"
cxnvllll,"Paracetamol, amoxicilina, enoxaparina, hidratacion intravenosa, suplementos vitaminicos y minerales, enalapril, furosemida","omega lll, alimentos antiinflamatorios, frutas y verduras frescas, vitaminas antioxidantes"
cxnvllll,"Ondansetron, atorvastatina, suplemento de calcio y vitamina d, suplemento de calcio y vitamina d, clonidina","Cereales, proteina magra, legumbres, lacteos, aceite de oliva"
cxnvllll,"Lidocaina, hidroxido de aluminio y magnesio, levotiroxina, alendronato","Carbohidratos complejos, vitaminas liposolubles, vitamina c, calcio"
cxnvlln,"Acetaminofen, ibuprofeno, arnica cafalexina","Alimentos ricos en proteina, frutas verduras, grasas"
cxnvlln,"Acetaminofen, amoxicilina, ciprofloxacino, aplicacion de hielo","alimentos suaves de digerir, alimentos ricos fibra, proteinas, hidratacion"
cxnvlln,"Uso de prendas de compresion , acetaminofen, ibuprofeno, naproxeno","Proteinas, frutas, verduras, grasa saludables, hidratos, zinc, hidratacion"
cxnvlll,"Paracetamol, opioides, codeina, celecoxib, albuterol, montelukast ","Alimentos ricos en antioxidantes, vitamina c, vitamina e, proteinas, hidratacion"
cxnvlll,"Albuterol, inhalador, formoterol, montelukast, teofilina","Frutas, verduras, omega, vitamina D, magnesio, vitamina e, proteinas, hidriatacion"
cxnvlll,"Albuterol, ciclesonida, salmeterol, montelukast","Verduras, grasas saludables, granos enteros, legumbres, hidratacion"
cxnvllll,"Acetaminofen, enapril, montelukast","Hidratacion, proteina, sodio, potasio , grasas, verduras, vitaminas c y e"
cxnvllll,"Paracetamol, ibuprofeno, cefalexina, enoxaparina","Hidratacion, frutas, verduras, grasas saludables, alimentos sauves"
cxnvllll,"Ciclobenzaprina, zofran, paracetamol, cefalexina","Vitamina D, magnesio, verduras, legumbres, hidratacion"
cxvlllll,"Acetaminofen, cafalexina, amoxicilina, ciprofloxacino , naproxeno","Proteinas, fibra, proteinas, hidratacion, vitamina c, vitamina e "
cxvlllll,"Amoxicilina, ciprofloxacino, arnica, ibuprofeno, alicacion de hielo","Proteina, frutas, verduras, grasas, consumo limitado de sodio, alimentos suaves"
cxvlllll,"Montelukast, arbuterol, enapril, ampollas de hielo paracetamol","Frutas y verduras, grasas saludables,alimentos en fibra, alimentos bajo en sodio,liquidos"
